Dec 9, 2014 11:01:34 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.MyFirstRobot,1542 (73%),500,100,783,157,2,0,10,0,0
2nd,MAIG_RoboCode_Project.MCTSRobot,560 (27%),0,0,504,0,56,0,0,10,0
$
Dec 9, 2014 11:03:15 PM
Results for 10 rounds
Rank,Robot Name,    Total Score    ,Survival,Surv Bonus,Bullet Dmg,Bullet Bonus,Ram Dmg * 2,Ram Bonus, 1sts , 2nds , 3rds 
1st,sample.MyFirstRobot,1431 (75%),500,100,688,138,5,0,10,0,0
2nd,MAIG_RoboCode_Project.MCTSRobot,468 (25%),0,0,363,0,104,0,0,10,0
$
